,Product id,Product title,Product URL,Image URL,Price,Discount,Tiki Now,Free Delivery,Total reviews,Rating %,Under price badge,Shocking price,Paid installments,Free Gifts
62,p359484,Bàn Phím Có Dây Logitech K120 - Hàng Chính Hãng,http://tiki.vn/ban-phim-co-day-logitech-k120-hang-chinh-hang-p359484.html,https://salt.tikicdn.com/cache/280x280/ts/product/01/c9/b9/4c92a02dbf8def20c13076cbf2d1c28f.jpg,175.000 ₫,-16%,1,NA,656,90%,NA,NA,0,NA
63,p416613,TP-Link  TL-WR841N - Router Wifi Chuẩn N Tốc Độ 300Mbps - Hàng Chính Hãng,http://tiki.vn/tp-link-tl-wr841n-router-wifi-chuan-n-toc-do-300mbps-hang-chinh-hang-p416613.html,https://salt.tikicdn.com/cache/280x280/ts/product/cd/2f/0a/4c53cdba0b1ca8cbca34863e6d077b9f.jpg,272.700 ₫,-24%,1,NA,537,90%,NA,NA,0,NA
64,p67480516,Phần mềm diệt Virus Bkav Pro - Hàng chính hãng,http://tiki.vn/phan-mem-diet-virus-bkav-pro-hang-chinh-hang-p67480516.html,https://salt.tikicdn.com/cache/280x280/ts/product/84/da/6d/9ae5f1b794de5a0cb16dc7975a0f5a40.png,204.000 ₫,-32%,1,NA,13,90%,NA,NA,0,NA
65,p416978,TP - Link TL- WN725N - USB Wifi Nano Chuẩn N Tốc Độ 150Mbps - Hàng Chính Hãng,http://tiki.vn/tp-link-tl-wn725n-usb-wifi-nano-chuan-n-toc-do-150mbps-hang-chinh-hang-p416978.html,https://salt.tikicdn.com/cache/280x280/ts/product/84/05/f9/5c70ad3e68bd82950099411542de4b49.jpg,134.000 ₫,-14%,1,NA,533,90%,NA,NA,0,NA
66,p465219,Thiết Bị Phát Wifi Di Động 4G LTE-Advanced TP-Link M7350 V5 150Mbps - Hàng Chính Hãng,http://tiki.vn/thiet-bi-phat-wifi-di-dong-4g-lte-advanced-tp-link-m7350-v5-150mbps-hang-chinh-hang-p465219.html,https://salt.tikicdn.com/cache/280x280/ts/product/28/68/ad/2099249633fc81f51a39c3aff64417b0.jpg,1.360.000 ₫,-28%,1,NA,772,90%,NA,NA,0,NA
67,p4953367,USB SanDisk CZ600 32GB - USB 3.0 - Hàng Chính Hãng,http://tiki.vn/usb-sandisk-cz600-32gb-usb-3-0-hang-chinh-hang-p4953367.html,https://salt.tikicdn.com/cache/280x280/ts/product/90/4a/d7/32b9efe67bca017b924a87c2059eac55.jpg,103.000 ₫,-39%,1,NA,41,90%,1,NA,0,NA
68,p964243,Ổ Cứng SSD WD Green 240GB 3D NAND - WDS240G2G0A - Hàng Chính Hãng,http://tiki.vn/o-cung-ssd-wd-green-240gb-3d-nand-wds240g2g0a-hang-chinh-hang-p964243.html,https://salt.tikicdn.com/ts/upload/75/34/d2/4a9a0958a782da8930cdad8f08afff37.png,724.000 ₫,-28%,1,0,586,90%,1,1,0,NA
69,p7857797,Khay Ổ Cứng Caddy Bay 9.5mm Siêu Mỏng (Gắn Ổ Cứng Thay Ổ Quang Laptop),http://tiki.vn/khay-o-cung-caddy-bay-9-5mm-sieu-mong-gan-o-cung-thay-o-quang-laptop-p7857797.html,https://salt.tikicdn.com/cache/280x280/ts/product/a4/45/a0/01b5c999f1826627635fdc3354bfab9c.jpg,38.000 ₫,-79%,1,NA,349,90%,1,NA,0,NA
70,p702134,Chuột Không Dây Logitech MX Anywhere 2S Receiver USB  - Hàng Chính Hãng,http://tiki.vn/chuot-khong-day-logitech-mx-anywhere-2s-receiver-usb-hang-chinh-hang-p702134.html,https://salt.tikicdn.com/cache/280x280/ts/product/4c/3b/33/9fdb0eb825f10420288227be30831167.jpg,1.202.000 ₫,-40%,1,NA,333,90%,NA,NA,0,NA
71,p502113,USB 3.0 SanDisk Ultra Flair CZ73 - 32GB - Hàng Chính Hãng,http://tiki.vn/usb-3-0-sandisk-ultra-flair-cz73-32gb-hang-chinh-hang-p502113.html,https://salt.tikicdn.com/cache/280x280/ts/product/6c/00/03/4335e6e6ea255969ae9863c204ecdad5.jpg,125.700 ₫,-71%,1,NA,277,90%,1,NA,0,NA
72,p56316096,Apple Macbook Pro 2020 - 13 Inchs (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng,http://tiki.vn/apple-macbook-pro-2020-13-inchs-i5-8th-8gb-256gb-hang-chinh-hang-p56316096.html,https://salt.tikicdn.com/cache/280x280/ts/product/b1/5e/e5/81fec3375d4effd543c1e464c4d79969.jpg,32.866.000 ₫,-18%,1,NA,21,90%,1,NA,1,NA
73,p575388,Hộp Đựng Ổ Cứng Di Động HDD Box 2.5 ORICO 2139U3 USB3.0/2.5 Nhựa Trong Suốt - Hàng Chính Hãng,http://tiki.vn/hop-dung-o-cung-di-dong-hdd-box-2-5-orico-2139u3-usb3-0-2-5-nhua-trong-suot-hang-chinh-hang-p575388.html,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/s/dsc_3443.u2470.d20170303.t165942.339871.jpg,105.000 ₫,-30%,1,NA,749,90%,NA,NA,0,NA
74,p4210927,Màn Hình Dell P2419H 24inch FullHD 8ms 60Hz IPS - Hàng Chính Hãng,http://tiki.vn/man-hinh-dell-p2419h-24inch-fullhd-8ms-60hz-ips-hang-chinh-hang-p4210927.html,https://salt.tikicdn.com/cache/280x280/ts/product/8c/70/57/e14ea0616215093df7fe058e1fe23d0b.jpg,3.850.000 ₫,-10%,1,NA,225,90%,NA,NA,1,NA
75,p708026,Router Wifi Băng Tần Kép AC1200 TP-Link Archer C50 - Hàng Chính Hãng,http://tiki.vn/router-wifi-bang-tan-kep-ac1200-tp-link-archer-c50-hang-chinh-hang-p708026.html,https://salt.tikicdn.com/cache/280x280/media/catalog/product/a/r/archer-c50-v3_s_01.u4064.d20170704.t180940.358348.jpg,515.000 ₫,-36%,1,NA,480,90%,NA,NA,0,NA
76,p416990,TP-Link  TL-WN722N - USB Wifi (high gain) tốc độ 150Mbps - Hàng Chính Hãng,http://tiki.vn/tp-link-tl-wn722n-usb-wifi-high-gain-toc-do-150mbps-hang-chinh-hang-p416990.html,https://salt.tikicdn.com/cache/280x280/ts/product/d8/7e/88/8b082f09b4786149879ac69417ad2087.jpg,158.000 ₫,-31%,1,NA,260,90%,1,NA,0,NA
77,p459201,Máy In Laser Đen Trắng Đơn Năng Brother HL-L2321D Duplex - Hàng Chính Hãng,http://tiki.vn/may-in-laser-den-trang-don-nang-brother-hl-l2321d-duplex-hang-chinh-hang-p459201.html,https://salt.tikicdn.com/cache/280x280/ts/product/6d/98/cd/f209c1f970b7fbc65bbf1bf8a15bca17.jpg,2.690.000 ₫,-0%,1,NA,466,90%,NA,NA,0,NA
78,p54665,Chuột Không Dây Logitech M185 - Hàng Chính Hãng,http://tiki.vn/chuot-khong-day-logitech-m185-hang-chinh-hang-p54665.html,https://salt.tikicdn.com/cache/280x280/media/catalog/product/l/o/logitech-m185-blue-.u579.d20161227.t161239.99288.jpg,194.800 ₫,-33%,1,NA,287,90%,NA,NA,0,NA
79,p233157,Chuột Không Dây Logitech M337 - Hàng chính hãng,http://tiki.vn/chuot-khong-day-logitech-m337-hang-chinh-hang-p233157.html,https://salt.tikicdn.com/cache/280x280/media/catalog/product/l/o/logitech m337black1.u2470.d20160620.t165439.jpg,393.900 ₫,-44%,1,NA,244,90%,1,NA,0,NA
80,p9416519,Bàn phím máy vi tính Bosston 808 LED - Hàng Chính Hãng,http://tiki.vn/ban-phim-may-vi-tinh-bosston-808-led-hang-chinh-hang-p9416519.html,https://salt.tikicdn.com/cache/280x280/ts/product/ee/01/5a/58cf4b3a60c8d75f087fd2b4e0a89d9c.jpg,96.500 ₫,-32%,1,NA,55,90%,1,NA,0,NA
81,p10785805,Ổ Cứng SSD Samsung 860 EVO 500GB 2.5 inch SATA iii MZ-76E500BW - Hàng Nhập Khẩu (Box Tiếng Anh),http://tiki.vn/o-cung-ssd-samsung-860-evo-500gb-2-5-inch-sata-iii-mz-76e500bw-hang-nhap-khau-box-tieng-anh-p10785805.html,https://salt.tikicdn.com/cache/280x280/ts/product/b0/a5/44/53819e9b6599040cc74e7a2747d620ef.jpg,1.520.000 ₫,-39%,1,NA,95,90%,NA,NA,0,NA
82,p356387,Ổ Cứng Di Động WD Elements 1TB 2.5 USB 3.0 - WDBUZG0010BBK - Hàng Chính Hãng,http://tiki.vn/o-cung-di-dong-wd-elements-1tb-2-5-usb-3-0-wdbuzg0010bbk-hang-chinh-hang-p356387.html,https://salt.tikicdn.com/cache/280x280/media/catalog/product/w/d/wd elements 1tb - 2.5 usb 3.0_1.u579.d20160808.t172730.328870.jpg,1.450.000 ₫,-9%,1,NA,409,90%,NA,NA,0,Quà tặng kèm
83,p486766,USB 3.0 SanDisk Ultra CZ48 16GB - Hàng Chính Hãng,http://tiki.vn/usb-3-0-sandisk-ultra-cz48-16gb-hang-chinh-hang-p486766.html,https://salt.tikicdn.com/cache/280x280/ts/product/61/d6/ba/9155015d962f4ba8b1c2150cff66eb3d.jpg,92.000 ₫,-56%,1,NA,123,90%,1,NA,0,NA
